fips,statename,statefip,state,county,State,StateCode,County,CountyCode,index2012,pcf_GenRevOwnSources2012,index1970,pcf_GenRevOwnSources1970
1001,Alabama,1,41,10,Alabama,01,"Autauga County, AL",01001,-.44510427,1092.5947,-.22816335,1392.4998
1003,Alabama,1,41,30,Alabama,01,"Baldwin County, AL",01003,.088793904,2459.4812,.2411091,634.05182
1005,Alabama,1,41,50,Alabama,01,"Barbour County, AL",01005,-.16001122,1334.87,-.10378373,735.62811
1007,Alabama,1,41,70,Alabama,01,"Bibb County, AL",01007,-.7664091,1243.4375,-.51563483,162.87982
1009,Alabama,1,41,90,Alabama,01,"Blount County, AL",01009,-.7316404,655.77856,-.3013992,829.8681
1011,Alabama,1,41,110,Alabama,01,"Bullock County, AL",01011,-.66630524,722.41028,-.49367994,179.72937
1013,Alabama,1,41,130,Alabama,01,"Butler County, AL",01013,-.28945997,1510.6394,.17124362,532.77594
1015,Alabama,1,41,150,Alabama,01,"Calhoun County, AL",01015,-.04000704,2936.5559,.666991,989.39233
1017,Alabama,1,41,170,Alabama,01,"Chambers County, AL",01017,-.27745673,1112.606,.25556198,277.55133
1019,Alabama,1,41,190,Alabama,01,"Cherokee County, AL",01019,-.81980884,838.56732,-.50742716,221.16417
1021,Alabama,1,41,210,Alabama,01,"Chilton County, AL",01021,-.54425895,917.78192,-.327802,590.48895
1023,Alabama,1,41,230,Alabama,01,"Choctaw County, AL",01023,-.68426657,919.46692,-.5337261,369.2934
1025,Alabama,1,41,250,Alabama,01,"Clarke County, AL",01025,-.39302382,1340.8721,-.53861427,268.72623
1027,Alabama,1,41,270,Alabama,01,"Clay County, AL",01027,-.34953237,2356.3416,-.54389995,41.754986
1029,Alabama,1,41,290,Alabama,01,"Cleburne County, AL",01029,-.63312578,849.41553,-.55243224,0
1031,Alabama,1,41,310,Alabama,01,"Coffee County, AL",01031,-.32276994,1304.1172,.31486765,635.04291
1033,Alabama,1,41,330,Alabama,01,"Colbert County, AL",01033,-.06831532,3249.3489,.49275759,1443.6892
1035,Alabama,1,41,350,Alabama,01,"Conecuh County, AL",01035,-.32825631,994.61084,-.38150415,227.63873
1037,Alabama,1,41,370,Alabama,01,"Coosa County, AL",01037,-.72760946,588.63794,-.55243224,0
1039,Alabama,1,41,390,Alabama,01,"Covington County, AL",01039,-.0043992577,1745.6527,.2779552,546.82074
